"Year","Distance","BLOCK","avg.index"
2003,"other",1614,100
2003,"other",1615,100
2003,"other",1621,100
2003,"other",1622,100
2003,"other",1456,100
2003,"other",1457,100
2003,"other",1458,100
2003,"other",1460,100
2003,"other",1415,100
2003,"other",1416,100
2003,"other",1417,100
2003,"other",1418,100
2003,"other",1419,100
2003,"other",1421,100
2003,"other",1422,100
2003,"other",1637,100
2003,"other",1638,100
2003,"other",1639,100
2003,"other",1643,100
2003,"other",1644,100
2003,"other",1645,100
2003,"other",1603,100
2003,"other",1655,100
2003,"other",1660,100
2003,"other",1661,100
2003,"other",1665,100
2003,"other",1435,100
2003,"other",1436,100
2003,"other",1437,100
2003,"other",1438,100
2003,"other",1439,100
2003,"other",1440,100
2003,"other",1441,100
2003,"other",1681,100
2003,"other",1745,100
2003,"other",1604,100
2003,"other",1607,100
2003,"other",1689,100
2003,"other",1708,100
2003,"other",1709,100
2003,"other",1710,100
2003,"other",1711,100
2003,"other",1715,100
2003,"other",1716,100
2003,"other",1722,100
2003,"other",1723,100
2003,"other",1725,100
2003,"other",1820,100
2003,"other",1628,100
2003,"other",1629,100
2003,"other",1630,100
2003,"other",1631,100
2003,"other",1634,100
2003,"other",1635,100
2003,"other",1636,100
2003,"other",1768,100
2003,"other",1769,100
2003,"other",1770,100
2003,"other",1677,100
2003,"other",1680,100
2003,"other",1815,100
2003,"other",1683,100
2003,"other",1687,100
2003,"other",1688,100
2003,"other",1750,100
2003,"other",1751,100
2003,"other",1666,100
2003,"other",1667,100
2003,"other",1674,100
2003,"other",1675,100
2003,"other",1676,100
2003,"other",1806,100
2003,"other",1623,100
2003,"other",2243,100
2003,"other",1625,100
2003,"other",1746,100
2003,"other",1749,100
2003,"other",1754,100
2003,"other",1627,100
2003,"other",1752,100
2003,"other",1753,100
2003,"other",1807,100
2003,"other",1796,100
2003,"other",1832,100
2003,"other",1895,100
2004,"1 block",1429,117.501833169861
2004,"1 block",1433,117.501833169861
2004,"1 block",1423,117.501833169861
2004,"1 block",1424,117.501833169861
2004,"1 block",1425,117.501833169861
2004,"1 block",1426,117.501833169861
2004,"1 block",1428,117.501833169861
2004,"1 block",1525,117.501833169861
2004,"1 block",1430,117.501833169861
2004,"1 block",1431,117.501833169861
2004,"1 block",1432,117.501833169861
2004,"1 block",1529,117.501833169861
2004,"1 block",1530,117.501833169861
2004,"1 block",1547,117.501833169861
2004,"1 block",1548,117.501833169861
2004,"1 block",1549,117.501833169861
2004,"1 block",1550,117.501833169861
2004,"1 block",1551,117.501833169861
2004,"1 block",1552,117.501833169861
2004,"1 block",1427,117.501833169861
2004,"1 block",1443,117.501833169861
2004,"1 block",1526,117.501833169861
2004,"1 block",1527,117.501833169861
2004,"1 block",1528,117.501833169861
2004,"1 block",1445,117.501833169861
2004,"1 block",1446,117.501833169861
2004,"1 block",1447,117.501833169861
2004,"1 block",1531,117.501833169861
2004,"1 block",1532,117.501833169861
2004,"1 block",1533,117.501833169861
2004,"1 block",1534,117.501833169861
2004,"1 block",1535,117.501833169861
2004,"1 block",1536,117.501833169861
2004,"1 block",1537,117.501833169861
2004,"1 block",1539,117.501833169861
2004,"1 block",1540,117.501833169861
2004,"1 block",1444,117.501833169861
2004,"1 block",1557,117.501833169861
2004,"1 block",1543,117.501833169861
2004,"1 block",1544,117.501833169861
2004,"1 block",1448,117.501833169861
2004,"1 block",1449,117.501833169861
2004,"1 block",1450,117.501833169861
2004,"1 block",1451,117.501833169861
2004,"1 block",1452,117.501833169861
2004,"1 block",1453,117.501833169861
2004,"1 block",1553,117.501833169861
2004,"1 block",1554,117.501833169861
2004,"1 block",1555,117.501833169861
2004,"1 block",1556,117.501833169861
2004,"1 block",1542,117.501833169861
2004,"1 block",1545,117.501833169861
2004,"1 block",1546,117.501833169861
2004,"2-3 blocks left",1409,189.662781845302
2004,"2-3 blocks left",1412,189.662781845302
2004,"2-3 blocks left",1404,189.662781845302
2004,"2-3 blocks left",1408,189.662781845302
2004,"2-3 blocks left",1521,189.662781845302
2004,"2-3 blocks left",1522,189.662781845302
2004,"2-3 blocks left",1523,189.662781845302
2004,"2-3 blocks left",1520,189.662781845302
2004,"2-3 blocks left",1411,189.662781845302
2004,"2-3 blocks left",1511,189.662781845302
2004,"2-3 blocks left",1413,189.662781845302
2004,"2-3 blocks left",1524,189.662781845302
2004,"2-3 blocks left",1515,189.662781845302
2004,"2-3 blocks left",1516,189.662781845302
2004,"2-3 blocks left",1517,189.662781845302
2004,"2-3 blocks left",1405,189.662781845302
2004,"2-3 blocks left",1406,189.662781845302
2004,"2-3 blocks left",1407,189.662781845302
2004,"2-3 blocks left",1508,189.662781845302
2004,"2-3 blocks left",1509,189.662781845302
2004,"2-3 blocks left",1410,189.662781845302
2004,"2-3 blocks left",1510,189.662781845302
2004,"2-3 blocks left",1512,189.662781845302
2004,"2-3 blocks left",1513,189.662781845302
2004,"2-3 blocks left",1514,189.662781845302
2004,"2-3 blocks left",1403,189.662781845302
2004,"2-3 blocks left",1518,189.662781845302
2004,"2-3 blocks left",1519,189.662781845302
2004,"2 blocks right",1560,112.738754165927
2004,"2 blocks right",1562,112.738754165927
2004,"2 blocks right",1565,112.738754165927
2004,"2 blocks right",1566,112.738754165927
2004,"2 blocks right",1567,112.738754165927
2004,"2 blocks right",1568,112.738754165927
2004,"2 blocks right",1569,112.738754165927
2004,"2 blocks right",1570,112.738754165927
2004,"2 blocks right",1571,112.738754165927
2004,"2 blocks right",1563,112.738754165927
2004,"2 blocks right",1559,112.738754165927
2004,"2 blocks right",1463,112.738754165927
2004,"2 blocks right",1464,112.738754165927
2004,"2 blocks right",1469,112.738754165927
2004,"2 blocks right",1564,112.738754165927
2004,"2 blocks right",1467,112.738754165927
2004,"2 blocks right",1468,112.738754165927
2004,"2 blocks right",1473,112.738754165927
2004,"2 blocks right",1470,112.738754165927
2004,"2 blocks right",1471,112.738754165927
2004,"2 blocks right",1472,112.738754165927
2004,"2 blocks right",1465,112.738754165927
2004,"2 blocks right",1466,112.738754165927
2004,"3-4 blocks right",1576,137.350243938848
2004,"3-4 blocks right",1578,137.350243938848
2004,"3-4 blocks right",1579,137.350243938848
