"Year","Block","Total","index","Distance","avg.index"
2001,1557,12,0,"1 block",0
2001,1558,18,0,"1 block",0
2001,1559,12,0,"2 blocks right",0
2001,1560,17,0,"2 blocks right",0
2001,1561,21,0,"2 blocks right",0
2001,1562,12,0,"2 blocks right",0
2001,1563,12,0,"2 blocks right",0
2001,1564,21,0,"2 blocks right",0
2001,1565,23,0,"2 blocks right",0
2001,1566,18,0,"2 blocks right",0
2001,1567,18,0,"2 blocks right",0
2001,1568,7,0,"2 blocks right",0
2001,1569,24,0,"2 blocks right",0
2001,1570,18,0,"2 blocks right",0
2001,1571,22,0,"2 blocks right",0
2001,1573,5,0,"2 blocks right",0
2001,1576,23,0,"3-4 blocks right",0
2001,1577,23,0,"3-4 blocks right",0
2001,1578,19,0,"3-4 blocks right",0
2001,1579,21,0,"3-4 blocks right",0
2001,1580,21,0,"3-4 blocks right",0
2001,1581,8,0,"3-4 blocks right",0
2001,1582,34,0,"3-4 blocks right",0
2001,1583,24,0,"3-4 blocks right",0
2001,1584,11,0,"3-4 blocks right",0
2001,1585,18,0,"3-4 blocks right",0
2001,1586,20,0,"3-4 blocks right",0
2001,1587,6,0,"3-4 blocks right",0
2001,1589,16,0,"3-4 blocks right",0
2001,1590,29,0,"3-4 blocks right",0
2001,1602,35,0,"4-5 blocks left",0
2001,1603,23,0,"other",0
2001,1604,25,0,"other",0
2001,1605,19,0,"other",0
2001,1608,13,0,"other",0
2001,1609,3,0,"other",0
2001,1610,20,0,"other",0
2001,1611,12,0,"other",0
2001,1612,8,0,"other",0
2001,1613,7,0,"other",0
2001,1614,9,0,"other",0
2001,1615,10,0,"other",0
2001,1617,6,0,"other",0
2001,1618,1,0,"other",0
2001,1621,19,0,"other",0
2001,1622,11,0,"other",0
2001,1623,101,0,"other",0
2001,1624,18,0,"2-3 blocks left",0
2001,1625,12,0,"other",0
2001,1626,1,0,"other",0
2001,1627,14,0,"other",0
2001,1628,12,0,"other",0
2001,1629,9,0,"other",0
2001,1630,8,0,"other",0
2001,1631,5,0,"other",0
2001,1632,9,0,"other",0
2001,1633,18,0,"other",0
2001,1634,20,0,"other",0
2001,1635,10,0,"other",0
2001,1636,8,0,"other",0
2001,1637,6,0,"other",0
2001,1638,14,0,"other",0
2001,1639,14,0,"other",0
2001,1640,4,0,"other",0
2001,1643,20,0,"other",0
2001,1644,15,0,"other",0
2001,1645,3,0,"other",0
2001,1646,6,0,"1 block",0
2001,1649,5,0,"other",0
2001,1652,9,0,"other",0
2001,1654,9,0,"other",0
2001,1655,13,0,"other",0
2001,1656,5,0,"other",0
2001,1659,16,0,"other",0
