"Block","Distance","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015"
0,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,NA,NA,NA,NA,NA,NA
431,"other",NA,NA,0.610296560774168,NA,0.909068055721702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"other",NA,NA,NA,1.02837069387898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1089,"other",NA,NA,NA,NA,NA,NA,1.54989048671057,NA,NA,NA,NA,NA,NA,NA,NA
1375,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1376,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1377,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1378,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1379,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1380,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1381,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1382,"other",0,0.552239650630474,0.610296560774168,1.02837069387898,0.909068055721702,1.05782634959718,1.54989048671057,1.90593241293088,1.8801854351758,1.71681409286557,1.60333489075557,1.8418917918543,2.08604702775696,2.08342702826055,2.48247865576743
1383,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
1384,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
1385,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
1386,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
1387,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
1388,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
1389,"4-5 blocks left",0,0.070687751877067,0.181300839158531,0.234980526298014,0.294982143314556,0.342576403008512,0.556051443617639,0.488961370016237,0.373411359391964,0.440863077070244,0.564530331246958,0.811155106195748,0.900647780478786,0.852865355881956,0.740194366812039
