,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,ADDRESS_clean,FullAddress,LAT_LONG,LAT,LONG,YEAR,MONTH
1098,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,37, ,D4,"220 EAST 67TH STREET, 11F", ,10065,0,0,0,0,0,1964,2,D4,525000,4/27/17,220 EAST 67TH STREET,"220 EAST 67TH STREET New York, NY 10065","(40.766118,-73.962175)",40.766118,-73.962175,2017,4
1116,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1427,1, ,D4,"203 EAST 72ND STREET, 3L", ,10021,0,0,0,0,0,1966,2,D4,525000,12/28/17,203 EAST 72ND STREET,"203 EAST 72ND STREET New York, NY 10021","(40.7697258,-73.95999545)",40.7697258,-73.95999545,2017,12
1376,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1453,1, ,D4,"301 EAST 78TH STREET, 14H", ,10075,0,0,0,0,0,1963,2,D4,525000,4/17/17,301 EAST 78TH STREET,"301 EAST 78TH STREET New York, NY 10075","(40.7725754,-73.9552149)",40.7725754,-73.9552149,2017,4
1446,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1472,14, ,D4,"435 EAST 77TH STREET, 10G", ,10075,0,0,0,0,0,1962,2,D4,525000,12/11/17,435 EAST 77TH STREET,"435 EAST 77TH STREET New York, NY 10075","(40.7706042,-73.9522846)",40.7706042,-73.9522846,2017,12
2022,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1395,1002, ,R9,"166 EAST 61ST STREET, 8M", ,10065,0,0,0,0,0,1963,2,R9,525000,4/7/17,166 EAST 61ST STREET,"166 EAST 61ST STREET New York, NY 10065","(40.76294,-73.966292)",40.76294,-73.966292,2017,4
2403,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1498,61, ,D4,"12 EAST 87TH STREET, 3D", ,10128,0,0,0,0,0,1920,2,D4,525000,5/31/17,12 EAST 87TH STREET,"12 EAST 87TH STREET New York, NY 10128","(40.781706,-73.958985)",40.781706,-73.958985,2017,5
2637,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1519,67, ,D4,"108 EAST 91ST STREET, 1D", ,10128,0,0,0,0,0,1928,2,D4,525000,12/6/17,108 EAST 91ST STREET,"108 EAST 91ST STREET New York, NY 10128","(40.783027,-73.954328)",40.783027,-73.954328,2017,12
2646,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1521,51, ,D4,"150 EAST 93RD STREET, 2B", ,10128,0,0,0,0,0,1923,2,D4,525000,7/17/17,150 EAST 93RD STREET,"150 EAST 93RD STREET New York, NY 10128","(40.7836666,-73.9522501)",40.7836666,-73.9522501,2017,7
2721,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1529,45, ,D4,"200 EAST 84TH STREET, 11E", ,10028,0,0,0,0,0,1961,2,D4,525000,8/29/17,200 EAST 84TH STREET,"200 EAST 84TH STREET New York, NY 10028","(40.777295,-73.9547074)",40.777295,-73.9547074,2017,8
2963,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1576,5, ,D4,"505 EAST 79TH STREET, 15F", ,10075,0,0,0,0,0,1963,2,D4,525000,4/17/17,505 EAST 79TH STREET,"505 EAST 79TH STREET New York, NY 10075","(40.771186,-73.949538)",40.771186,-73.949538,2017,4
2107,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1445,1002, ,R9,"300 EAST 71ST STREET, 5F", ,10021,0,0,0,0,0,1960,2,R9,527500,10/5/17,300 EAST 71ST STREET,"300 EAST 71ST STREET New York, NY 10021","(40.7678083,-73.9585353)",40.7678083,-73.9585353,2017,10
2291,1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1535,42, ,C6,"208 EAST 90TH STREET, 4W", ,10128,0,0,0,0,0,1920,2,C6,528000,10/12/17,208 EAST 90TH STREET,"208 EAST 90TH STREET New York, NY 10128","(40.7809293,-73.95152647)",40.7809293,-73.95152647,2017,10
1228,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1439,1, ,D4,"301 EAST 64TH STREET, 6K", ,10065,0,0,0,0,0,1963,2,D4,529000,8/9/17,301 EAST 64TH STREET,"301 EAST 64TH STREET New York, NY 10065","(40.7637569,-73.9616521)",40.7637569,-73.9616521,2017,8
2075,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1430,1004, ,R9,"240 EAST 76TH STREET, 9R", ,10021,0,0,0,0,0,1957,2,R9,529000,11/27/17,240 EAST 76TH STREET,"240 EAST 76TH STREET New York, NY 10021","(40.77143,-73.956834)",40.77143,-73.956834,2017,11
1423,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1467,1, ,D4,"399 EAST 72ND STREET, 5J", ,10021,0,0,0,0,0,1961,2,D4,530000,3/6/17,399 EAST 72ND STREET,"399 EAST 72ND STREET New York, NY 10021","(40.7678227,-73.9554976)",40.7678227,-73.9554976,2017,3
2944,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1566,17, ,D4,"445 EAST 86TH STREET, 8F", ,10028,0,0,0,0,0,1961,2,D4,530000,10/10/17,445 EAST 86TH STREET,"445 EAST 86TH STREET New York, NY 10028","(40.7763285,-73.9475088)",40.7763285,-73.9475088,2017,10
3281,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1537,1858, ,R4,1623 THIRD AVENUE,22E,10128,1,0,1,0,0,0,2,R4,530000,11/20/17,1623 THIRD AVENUE,"1623 THIRD AVENUE New York, NY 10128","(40.780989,-73.95158)",40.780989,-73.95158,2017,11
19,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1676,1427, ,R4,2019 1 AVENUE,6D,10029,1,0,1,0,0,2007,2,R4,531000,1/31/18,2019 1 AVENUE,"2019 1 AVENUE New York, NY 10029","(40.5907473265306, -73.94947422)",40.59074733,-73.94947422,2018,1
3262,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1536,1289, ,R4,1601 3 AVENUE,27E,10128,1,0,1,0,0,0,2,R4,533248,8/18/17,1601 3 AVENUE,"1601 3 AVENUE New York, NY 10128","(40.5903223,-73.95335274)",40.5903223,-73.95335274,2017,8
2798,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1543,18, ,D4,"333 EAST 80TH STREET, 1C", ,10075,0,0,0,0,0,1920,2,D4,535000,11/15/17,333 EAST 80TH STREET,"333 EAST 80TH STREET New York, NY 10075","(40.773503,-73.95277)",40.773503,-73.95277,2017,11
2874,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1556,23, ,D4,"345 EAST 93RD STREET, 6E", ,10128,0,0,0,0,0,1974,2,D4,535000,8/1/17,345 EAST 93RD STREET,"345 EAST 93RD STREET New York, NY 10128","(40.781566,-73.946314)",40.781566,-73.946314,2017,8
2800,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1543,18, ,D4,"333 EAST 80TH STREET, 3D", ,10075,0,0,0,0,0,1920,2,D4,539000,11/30/17,333 EAST 80TH STREET,"333 EAST 80TH STREET New York, NY 10075","(40.773503,-73.95277)",40.773503,-73.95277,2017,11
112,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1444,8, ,D4,"315 EAST 69TH STREET, 8D", ,10021,0,0,0,0,0,1961,2,D4,540000,2/21/18,315 EAST 69TH STREET,"315 EAST 69TH STREET New York, NY 10021","(40.7666491, -73.9587561)",40.7666491,-73.9587561,2018,2
1166,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1429,5, ,D4,"207 EAST 74TH STREET, 4K", ,10021,0,0,0,0,0,1963,2,D4,540000,12/5/17,207 EAST 74TH STREET,"207 EAST 74TH STREET New York, NY 10021","(40.770902,-73.9587488)",40.770902,-73.9587488,2017,12
1288,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1446,23, ,D4,"360 EAST 72ND STREET, A1003", ,10021,0,0,0,0,0,1963,2,D4,540000,9/1/17,360 EAST 72ND STREET,"360 EAST 72ND STREET New York, NY 10021","(40.7677332,-73.9563296)",40.7677332,-73.9563296,2017,9
18,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1638,1032, ,R4,161 EAST 110 STREET,4I,10029,1,0,1,0,0,2006,2,R4,545000,2/14/18,161 EAST 110 STREET,"161 EAST 110 STREET New York, NY 10029","(40.794705, -73.943607)",40.794705,-73.943607,2018,2
2480,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1505,44, ,D4,"64 EAST 94TH   STREET, 1A", ,10128,0,0,0,0,0,1962,2,D4,545000,4/4/17,64 EAST 94TH   STREET,"64 EAST 94TH   STREET New York, NY 10128","(40.785515,-73.954441)",40.785515,-73.954441,2017,4
2908,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1565,9, ,D4,"415 EAST 85TH STREET, 12A", ,10028,0,0,0,0,0,1959,2,D4,545000,8/24/17,415 EAST 85TH STREET,"415 EAST 85TH STREET New York, NY 10028","(40.776026,-73.9487716)",40.776026,-73.9487716,2017,8
2927,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1566,1, ,D4,"401 EAST 86TH STREET, 12N", ,10028,0,0,0,0,0,1963,2,D4,545000,3/8/17,401 EAST 86TH STREET,"401 EAST 86TH STREET New York, NY 10028","(40.776784,-73.948711)",40.776784,-73.948711,2017,3
3415,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1552,1011, ,R4,1724 SECOND AVENUE,3RS,10128,1,0,1,0,0,1910,2,R4,545000,11/16/17,1724 SECOND AVENUE,"1724 SECOND AVENUE New York, NY 10128","(40.7800337,-73.9498278)",40.7800337,-73.9498278,2017,11
1087,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1421,1, ,D4,"201 EAST 66TH STREET, 18D", ,10065,0,0,0,0,0,1961,2,D4,549000,6/23/17,201 EAST 66TH STREET,"201 EAST 66TH STREET New York, NY 10065","(40.7658889,-73.9630197)",40.7658889,-73.9630197,2017,6
1239,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1441,17, ,D4,"333 EAST 66TH   STREET, 8K", ,10065,0,0,0,0,0,1964,2,D4,549000,11/20/17,333 EAST 66TH   STREET,"333 EAST 66TH   STREET New York, NY 10065","(40.76443565,-73.95932584)",40.76443565,-73.95932584,2017,11
1331,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1450,1, ,D4,"301 EAST 75 STREET, 11J", ,10021,0,0,0,0,0,1966,2,D4,549000,8/1/17,301 EAST 75 STREET,"301 EAST 75 STREET New York, NY 10021","(40.770715,-73.956579)",40.770715,-73.956579,2017,8
2960,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1576,1, ,D4,"501 EAST 79TH STREET, 18E", ,10075,0,0,0,0,0,1960,2,D4,549000,10/4/17,501 EAST 79TH STREET,"501 EAST 79TH STREET New York, NY 10075","(40.7714272,-73.9500216)",40.7714272,-73.9500216,2017,10
1146,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1428,13, ,D4,"225 EAST 73RD STREET, 8B/8C", ,10021,0,0,0,0,0,1932,2,D4,549375,12/1/17,225 EAST 73RD STREET,"225 EAST 73RD STREET New York, NY 10021","(40.770077,-73.9586669999999)",40.770077,-73.958667,2017,12
541,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1628,1213, ,R4,1810 THIRD AVENUE,3B,10029,1,0,1,0,0,2005,2,R4,550000,5/17/17,1810 THIRD AVENUE,"1810 THIRD AVENUE New York, NY 10029","(42.8002283,-73.9523152)",42.8002283,-73.9523152,2017,5
940,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1402,33, ,D4,"167 EAST 67TH STREET, 15B", ,10065,0,0,0,0,0,1960,2,D4,550000,11/14/17,167 EAST 67TH STREET,"167 EAST 67TH STREET New York, NY 10065","(40.7668244,-73.9633087)",40.7668244,-73.9633087,2017,11
1013,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1409,40, ,D4,"196 EAST 75TH STREET, 16G", ,10021,0,0,0,0,0,1961,2,D4,550000,7/18/17,196 EAST 75TH STREET,"196 EAST 75TH STREET New York, NY 10021","(40.7717408,-73.9595445)",40.7717408,-73.9595445,2017,7
1206,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1433,34, ,D4,"230 EAST 79TH STREET, 20D", ,10075,0,0,0,0,0,1964,2,D4,550000,8/10/17,230 EAST 79TH STREET,"230 EAST 79TH STREET New York, NY 10075","(40.773607,-73.9561)",40.773607,-73.9561,2017,8
2112,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1447,1002, ,R9,"305 EAST 72ND   STREET, 12G", ,10021,0,0,0,0,0,1961,2,R9,550000,6/16/17,305 EAST 72ND   STREET,"305 EAST 72ND   STREET New York, NY 10021","(40.768843,-73.958055)",40.768843,-73.958055,2017,6
2270,1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1529,39, ,C6,"210 EAST 84  STREET, 2B", ,10028,0,0,0,0,0,1910,2,C6,550000,6/7/17,210 EAST 84  STREET,"210 EAST 84  STREET New York, NY 10028","(40.777101,-73.954243)",40.777101,-73.954243,2017,6
2398,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1498,33, ,D4,"1040 PARK AVENUE, 4G-1", ,10028,0,0,0,0,0,1925,2,D4,550000,8/10/17,1040 PARK AVENUE,"1040 PARK AVENUE New York, NY 10028","(40.78053,-73.9575194)",40.78053,-73.9575194,2017,8
2621,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1519,8, ,D4,"115 EAST 90TH   STREET, 8C", ,10128,0,0,0,0,0,1923,2,D4,550000,5/3/17,115 EAST 90TH   STREET,"115 EAST 90TH   STREET New York, NY 10128","(40.782443,-73.954386)",40.782443,-73.954386,2017,5
2733,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1532,39, ,D4,"220 EAST 87, 2H/3H", ,10128,0,0,0,0,0,1960,2,D4,550000,9/22/17,220 EAST 87,"220 EAST 87 New York, NY 10128","(40.7789089,-73.9527667)",40.7789089,-73.9527667,2017,9
2793,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1543,9, ,D4,"315 EAST 80TH STREET, 6J", ,10075,0,0,0,0,0,1920,2,D4,550000,7/11/17,315 EAST 80TH STREET,"315 EAST 80TH STREET New York, NY 10075","(40.7737962,-73.9535703)",40.7737962,-73.9535703,2017,7
2897,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1562,18, ,D4,431 EAST 82ND STREET, ,10028,14,0,14,2554,10560,1910,2,D4,550000,3/29/17,431 EAST 82ND STREET,"431 EAST 82ND STREET New York, NY 10028","(40.773714,-73.949642)",40.773714,-73.949642,2017,3
2898,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1562,18, ,D4,"431 EAST 82ND STREET, 4A", ,10028,0,0,0,0,0,1910,2,D4,550000,3/29/17,431 EAST 82ND STREET,"431 EAST 82ND STREET New York, NY 10028","(40.773714,-73.949642)",40.773714,-73.949642,2017,3
3005,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1582,46, ,D4,"510 EAST 86TH STREET, 6D", ,10028,0,0,0,0,0,1958,2,D4,550000,4/18/17,510 EAST 86TH STREET,"510 EAST 86TH STREET New York, NY 10028","(40.7754939,-73.9466592)",40.7754939,-73.9466592,2017,4
3043,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1589,34, ,D4,"45 EAST END AVENUE, 5D", ,10028,0,0,0,0,0,1951,2,D4,550000,9/7/17,45 EAST END AVENUE,"45 EAST END AVENUE New York, NY 10028","(40.771779,-73.94685)",40.771779,-73.94685,2017,9
3568,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1577,1021, ,R4,520 EAST 81ST   STREET,2J,10028,1,0,1,0,0,1964,2,R4,550000,11/3/17,520 EAST 81ST   STREET,"520 EAST 81ST   STREET New York, NY 10028","(40.772063,-73.94825)",40.772063,-73.94825,2017,11
3668,1,UPPER EAST SIDE (96-110),10 COOPS - ELEVATOR APARTMENTS             ,2,1614,1, ,D4,"1270 FIFTH AVENUE, 5B", ,10029,0,0,0,0,0,1959,2,D4,550000,11/21/17,1270 FIFTH AVENUE,"1270 FIFTH AVENUE New York, NY 10029","(42.79826529,-73.95033071)",42.79826529,-73.95033071,2017,11
3669,1,UPPER EAST SIDE (96-110),10 COOPS - ELEVATOR APARTMENTS             ,2,1614,1, ,D4,"1270 FIFTH AVE, 12J", ,10029,0,0,0,0,0,1959,2,D4,550000,8/14/17,1270 FIFTH AVE,"1270 FIFTH AVE New York, NY 10029","(42.79826529,-73.95033071)",42.79826529,-73.95033071,2017,8
1410,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1460,1, ,D4,"401 EAST 65TH STREET, 13J", ,10065,0,0,0,0,0,1962,2,D4,553000,12/18/17,401 EAST 65TH STREET,"401 EAST 65TH STREET New York, NY 10065","(40.763321,-73.958862)",40.763321,-73.958862,2017,12
3209,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1518,1086, ,R4,120 EAST 90TH   STREET,5G,10128,1,0,1,0,0,1962,2,R4,553000,5/19/17,120 EAST 90TH   STREET,"120 EAST 90TH   STREET New York, NY 10128","(40.782085,-73.954056)",40.782085,-73.954056,2017,5
555,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1638,1043, ,R4,161 EAST 110 STREET,5I,10029,1,0,1,0,0,2006,2,R4,555000,11/1/17,161 EAST 110 STREET,"161 EAST 110 STREET New York, NY 10029","(40.794705,-73.943607)",40.794705,-73.943607,2017,11
1436,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1471,45, ,D4,"400 EAST 77TH STREET, 2G", ,10075,0,0,0,0,0,1964,2,D4,555000,3/24/17,400 EAST 77TH STREET,"400 EAST 77TH STREET New York, NY 10075","(40.7707233,-73.9533503999999)",40.7707233,-73.9533504,2017,3
1467,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1483,38, ,D4,"520 EAST 72ND STREET, 3J", ,10021,0,0,0,0,0,1964,2,D4,555000,7/13/17,520 EAST 72ND STREET,"520 EAST 72ND STREET New York, NY 10021","(40.7662,-73.952635)",40.7662,-73.952635,2017,7
3666,1,UPPER EAST SIDE (96-110),10 COOPS - ELEVATOR APARTMENTS             ,2,1614,1, ,D4,"1270 FIFTH AVENUE, 7B", ,10029,0,0,0,0,0,1959,2,D4,558000,6/5/17,1270 FIFTH AVENUE,"1270 FIFTH AVENUE New York, NY 10029","(42.79826529,-73.95033071)",42.79826529,-73.95033071,2017,6
69,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1407,33, ,D4,"165 EAST 72ND STREET, 8N", ,10021,0,0,0,0,0,1960,2,D4,560000,2/22/18,165 EAST 72ND STREET,"165 EAST 72ND STREET New York, NY 10021","(40.7702466, -73.9607566999999)",40.7702466,-73.9607567,2018,2
143,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1473,18, ,D4,"440 EAST 79TH STREET, 5M", ,10075,0,0,0,0,0,1956,2,D4,560000,2/9/18,440 EAST 79TH STREET,"440 EAST 79TH STREET New York, NY 10075","(40.77167, -73.951506)",40.77167,-73.951506,2018,2
259,1,UPPER EAST SIDE (79-96),09 COOPS - WALKUP APARTMENTS               ,2,1511,59, ,C6,"128 EAST 83RD STREET, 3B", ,10028,0,0,0,0,0,1928,2,C6,560000,1/19/18,128 EAST 83RD STREET,"128 EAST 83RD STREET New York, NY 10028","(40.77751025, -73.95744115)",40.77751025,-73.95744115,2018,1
1027,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1410,14, ,D4,"123 EAST 75TH STREET, 3C", ,10021,0,0,0,0,0,1962,2,D4,560000,3/30/17,123 EAST 75TH STREET,"123 EAST 75TH STREET New York, NY 10021","(40.772565,-73.960973)",40.772565,-73.960973,2017,3
1400,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1458,5, ,D4,"405 EAST 63RD   STREET, PHB", ,10065,0,0,0,0,0,1957,2,D4,560000,4/19/17,405 EAST 63RD   STREET,"405 EAST 63RD   STREET New York, NY 10065","(40.76194,-73.959428)",40.76194,-73.959428,2017,4
2070,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1430,1004, ,R9,"240 EAST 76TH STREET, 15P", ,10021,0,0,0,0,0,1957,2,R9,560000,5/11/17,240 EAST 76TH STREET,"240 EAST 76TH STREET New York, NY 10021","(40.77143,-73.956834)",40.77143,-73.956834,2017,5
2563,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1512,52, ,D4,"144 EAST 84TH STREET, 12F", ,10028,0,0,0,0,0,1962,2,D4,560000,10/17/17,144 EAST 84TH STREET,"144 EAST 84TH STREET New York, NY 10028","(40.777986,-73.956352)",40.777986,-73.956352,2017,10
2830,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1550,1, ,D4,"301 EAST 87TH STREET, 3C", ,10128,0,0,0,0,0,1973,2,D4,560000,11/3/17,301 EAST 87TH STREET,"301 EAST 87TH STREET New York, NY 10128","(40.778532,-73.9508185)",40.778532,-73.9508185,2017,11
413,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1555,1182, ,R4,300 EAST 93RD   STREET,3C,10128,1,0,1,0,0,0,2,R4,565000,1/4/18,300 EAST 93RD   STREET,"300 EAST 93RD   STREET New York, NY 10128","(40.78194295, -73.94832134)",40.78194295,-73.94832134,2018,1
562,1,HARLEM-EAST,13 CONDOS - ELEVATOR APARTMENTS            ,2,1680,1105, ,R4,330 EAST 109 STREET,2C,10029,1,0,1,0,0,2007,2,R4,565000,9/21/17,330 EAST 109 STREET,"330 EAST 109 STREET New York, NY 10029","(40.792112,-73.940554)",40.792112,-73.940554,2017,9
2666,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1522,41, ,D4,"170 EAST 94TH STREET, 5E", ,10128,0,0,0,0,0,1928,2,D4,565000,9/18/17,170 EAST 94TH STREET,"170 EAST 94TH STREET New York, NY 10128","(40.7840222,-73.9510217999999)",40.7840222,-73.9510218,2017,9
2909,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1565,9, ,D4,"415 EAST 85TH STREET, 8B", ,10028,0,0,0,0,0,1959,2,D4,565000,9/20/17,415 EAST 85TH STREET,"415 EAST 85TH STREET New York, NY 10028","(40.776026,-73.9487716)",40.776026,-73.9487716,2017,9
3256,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1536,1029, ,R4,1601 THIRD AVENUE,5E,10128,1,0,1,0,0,0,2,R4,565000,9/15/17,1601 THIRD AVENUE,"1601 THIRD AVENUE New York, NY 10128","(40.780989,-73.95158)",40.780989,-73.95158,2017,9
3554,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1569,1355, ,R4,400 EAST 90TH STREET,9C,10128,1,0,1,0,0,0,2,R4,565000,11/14/17,400 EAST 90TH STREET,"400 EAST 90TH STREET New York, NY 10128","(40.779208,-73.947233)",40.779208,-73.947233,2017,11
2124,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1449,1302, ,R9,"343 EAST 74TH STREET, UNIT2", ,10021,0,0,0,0,0,1986,2,R9,565250,8/21/17,343 EAST 74TH STREET,"343 EAST 74TH STREET New York, NY 10021","(40.769506,-73.955786)",40.769506,-73.955786,2017,8
1468,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1483,38, ,D4,"520 EAST 72ND STREET, 2T", ,10021,0,0,0,0,0,1964,2,D4,566000,7/20/17,520 EAST 72ND STREET,"520 EAST 72ND STREET New York, NY 10021","(40.7662,-73.952635)",40.7662,-73.952635,2017,7
240,1,UPPER EAST SIDE (59-79),17 CONDO COOPS                             ,2,1469,1003, ,R9,"401 EAST 74TH STREET, 11K", ,10021,0,0,0,0,0,1962,2,R9,567000,2/15/18,401 EAST 74TH STREET,"401 EAST 74TH STREET New York, NY 10021","(40.7690765, -73.9546283)",40.7690765,-73.9546283,2018,2
2877,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1556,23, ,D4,"345 EAST 93RD STREET, 22E", ,10128,0,0,0,0,0,1974,2,D4,567000,12/6/17,345 EAST 93RD STREET,"345 EAST 93RD STREET New York, NY 10128","(40.781566,-73.946314)",40.781566,-73.946314,2017,12
2791,1,UPPER EAST SIDE (79-96),10 COOPS - ELEVATOR APARTMENTS             ,2,1542,33, ,D4,"330 EAST 80TH STREET, 2H", ,10075,0,0,0,0,0,1957,2,D4,569000,8/31/17,330 EAST 80TH STREET,"330 EAST 80TH STREET New York, NY 10075","(40.7732941,-73.9532948)",40.7732941,-73.9532948,2017,8
713,1,UPPER EAST SIDE (59-79),09 COOPS - WALKUP APARTMENTS               ,2,1489,37, ,C6,"516 EAST 78TH STREET, 6B", ,10075,0,0,0,0,0,1910,2,C6,570000,9/7/17,516 EAST 78TH STREET,"516 EAST 78TH STREET New York, NY 10075","(40.770097,-73.949741)",40.770097,-73.949741,2017,9
1157,1,UPPER EAST SIDE (59-79),10 COOPS - ELEVATOR APARTMENTS             ,2,1428,45, ,D4,"200 EAST 74TH STREET, 9G", ,10021,0,0,0,0,0,1962,2,D4,570000,10/10/17,200 EAST 74TH STREET,"200 EAST 74TH STREET New York, NY 10021","(40.7708195,-73.9595235)",40.7708195,-73.9595235,2017,10
3532,1,UPPER EAST SIDE (79-96),13 CONDOS - ELEVATOR APARTMENTS            ,2,1555,1200, ,R4,300 EAST 93RD STREET,22C,10128,1,0,1,0,0,0,2,R4,570000,10/5/17,300 EAST 93RD STREET,"300 EAST 93RD STREET New York, NY 10128","(40.7819235,-73.9483353999999)",40.7819235,-73.9483354,2017,10
